column,n,mean_time
id,10,6.02858407156808e-06
owner_id,10,4.816055297851562e-06
creation_date,10,1.0204315185546874e-05
count,10,4.38690185546875e-06
name,10,9.107589721679688e-06
content,10,6.756782531738281e-05
id,100,4.325594220842634e-06
owner_id,100,2.3651123046875e-05
creation_date,100,8.072853088378907e-05
count,100,2.4127960205078126e-05
name,100,8.382797241210938e-05
content,100,0.0007406234741210938
id,1000,2.3807798113141742e-05
owner_id,1000,0.0002767086029052734
creation_date,1000,0.0010653972625732423
count,1000,0.00027523040771484377
name,1000,0.0012889385223388671
content,1000,0.007563591003417969
id,10000,0.00041546140398297993
owner_id,10000,0.004377841949462891
creation_date,10000,0.01097407341003418
count,10000,0.00429239273071289
name,10000,0.01096034049987793
content,10000,0.07553133964538575
id,100000,0.006680522646222796
owner_id,100000,0.052943849563598634
creation_date,100000,0.133056116104126
count,100000,0.04972763061523437
name,100000,0.11483631134033204
content,100000,0.6650221824645997
id,300000,4.223414829799107e-06
owner_id,300000,0.15529866218566896
creation_date,300000,0.3241703987121582
count,300000,0.14274311065673828
name,300000,0.3182705879211426
content,300000,1.9750635623931885
id,500000,4.223414829799107e-06
owner_id,500000,0.2706242561340332
creation_date,500000,0.5490180969238281
count,500000,0.24620938301086426
name,500000,0.5337858676910401
content,500000,3.2897286415100098
